name,postal_code,stars,review_count
Carniceria Los Reyes,85006,4.5,6.0
Simon's Vegan Hot Dogs,85006,4.5,6.0
Tacos Huicho,85006,4.5,227.0
Thai Recipe Bistro,85006,4.5,157.0
Pane Bianco - Van Buren,85006,4.5,27.0
Bri,85006,4.5,70.0
El Chullo Peruvian Restaurant & Bar,85006,4.5,364.0
Authentic Ethio African,85006,4.5,119.0
Casa Corazon Restaurant,85006,4.5,268.0
Tacos Chiwas,85006,4.5,584.0
Welcome Diner,85006,4.5,1073.0
Tuck Shop,85006,4.5,668.0
Rito's Mexican Food- Phoenix,85006,4.5,394.0
Sutra Studios - Midtown,85006,4.5,75.0
Restaurante El Guanaquito,85006,4.5,163.0
Baiz Market Place,85006,4.5,204.0
Berry Divine Acai Bowls,85006,4.5,26.0
Ollie Vaughn's,85006,4.5,297.0
Bikini Beans Coffee,85006,4.5,120.0
Hamburger Yumi Yum,85006,4.5,6.0
Urban Cookies Bake Shop,85006,4.5,633.0
Coronado Cafe,85006,4.0,164.0
Roland's Cafe Market Bar,85006,4.0,120.0
La Tolteca Mexican Foods,85006,4.0,153.0
Bamboo Bakery,85006,4.0,75.0
Cherry Tree Smokehouse BBQ,85006,4.0,56.0
Cheba Hut Toasted Subs,85006,4.0,174.0
Los Altos Ranch Markets,85006,4.0,205.0
Urban Vine,85006,4.0,77.0
Astor House,85006,4.0,96.0
Speedy Pit Stop,85006,4.0,5.0
Antigua Garden Event Venue,85006,4.0,8.0
The Main Ingredient Ale House And Café,85006,4.0,604.0
La Santisima Gourmet Taco Shop,85006,4.0,2152.0
So We Meat Again,85006,4.0,12.0
Realeza Michoacana,85006,4.0,34.0
Gallo Blanco,85006,4.0,275.0
La Barquita Restaurant,85006,4.0,143.0
Ajax Liquor Store,85006,4.0,4.0
Mud Dauber Coffee,85006,4.0,14.0
MacAlpine's Diner & Soda Fountain,85006,4.0,385.0
White Sage Espresso,85006,4.0,20.0
Bitter Creek Cafe,85006,4.0,18.0
The Coronado PHX,85006,4.0,669.0
Roosevelt Diner,85006,4.0,8.0
Calabria Italian Kitchen,85006,4.0,36.0
Al-Hana,85006,4.0,94.0
Miss Anita's Pie Shop,85006,4.0,20.0
That's A Wrap,85006,4.0,80.0
Rice Paper,85006,3.5,445.0
La Piccola Cucina,85006,3.5,117.0
Taco Mich,85006,3.5,102.0
Church's Chicken,85006,3.5,5.0
La Salsita's Mexican Food,85006,3.5,30.0
Dulceria Pico Rico,85006,3.5,9.0
Tradiciones,85006,3.5,54.0
Whataburger,85006,3.5,80.0
Ladybug House of Sandwiches,85006,3.5,112.0
Slice Cake Design,85006,3.5,6.0
America's Taco Shop,85006,3.5,437.0
Humble Pie,85006,3.5,325.0
Counter Culture Cafe,85006,3.0,6.0
Liquor Wheel 2,85006,3.0,4.0
Fiesta Grill,85006,3.0,6.0
Cafe La Bella,85006,3.0,5.0
Waffles N Pizzeria,85006,3.0,10.0
Hacienda Restaurant,85006,3.0,4.0
Trente-Cinq,85006,3.0,12.0
Walgreens,85006,2.5,21.0
Little Caesars Pizza,85006,2.5,3.0
Wendy's,85006,2.5,30.0
Jack in the Box,85006,2.5,14.0
Jack in the Box,85006,2.0,20.0
Filiberto's Mexican Food,85006,2.0,62.0
Pizza Hut,85006,2.0,16.0
Circle K,85006,2.0,8.0
Circle K,85006,2.0,16.0
Circle K,85006,1.5,3.0
Mariscos Playa Del Sol,85006,1.5,3.0
ThirdSpace,85007,4.5,137.0
Treehouse Bakery,85007,4.5,175.0
Cucara Macara Ice Cream Shop,85008,5.0,17.0
The Bread and Honey House,85008,5.0,147.0
Decadence Culinary Projects,85008,5.0,4.0
Q-tsie,85008,5.0,4.0
Casita Del Mar,85008,5.0,4.0
Peet's Coffee and Tea,85008,4.5,10.0
Pa'La,85008,4.5,150.0
Taqueria Yaqui,85008,4.5,19.0
Pak Afghan Halal Restaurant & Catering,85008,4.5,21.0
Z-Grill,85008,4.5,20.0
"Helpings Cafe, Market and Catering",85008,4.5,53.0
Costco Gasoline,85008,4.5,32.0
32nd Cafe,85008,4.5,12.0
Tacos Culichi,85008,4.5,215.0
Menuderia Guanajuato,85008,4.5,8.0
Super L Bakery,85008,4.5,6.0
El Jacal Mexican Restaurant,85008,4.5,49.0
The Lunch Lounge,85008,4.5,124.0
Phoenix Slice House,85008,4.5,18.0
Pocho's,85008,4.0,19.0
Lou's Bar & Grill,85008,4.0,49.0
Taqueria Don Beto,85008,4.0,34.0
Angel's Trumpet Ale House,85008,4.0,137.0
Ciros Tacos,85008,4.0,22.0
Waamo Restaurant,85008,4.0,46.0
7-Eleven,85008,4.0,4.0
Dirty Drummer,85008,4.0,111.0
Sunshine and Spice,85008,4.0,10.0
Los Toritos,85008,4.0,14.0
Neveria Paraiso,85008,4.0,8.0
Taqueria El Guerrerense,85008,4.0,12.0
El Nuevo Taquito,85008,4.0,18.0
Red Devil Italian Restaurant & Pizzerias,85008,4.0,290.0
Mariscos Camaron Pela'o,85008,4.0,26.0
Subway Restaurants,85008,4.0,7.0
Corazon Mexican Cocina,85008,4.0,8.0
Simply Bread,85008,4.0,16.0
Patio Cafe,85008,4.0,4.0
Tropical Fruit N'Ice Raspados,85008,4.0,27.0
Gary's Liquor,85008,4.0,13.0
Tortas Paquime,85008,4.0,131.0
Szechwan Palace,85008,3.5,305.0
Gertrude's,85008,3.5,477.0
Pho House,85008,3.5,27.0
Indian Delhi Palace,85008,3.5,336.0
El Nopalito,85008,3.5,75.0
Five Guys,85008,3.5,87.0
Sushi Sonora,85008,3.5,39.0
Burger Theory,85008,3.5,297.0
Super Subs,85008,3.5,28.0
Cork & Bottle,85008,3.5,12.0
Starbucks,85008,3.5,79.0
Standard Restaurant Supply,85008,3.5,16.0
Arizona Authentic Pizza,85008,3.5,20.0
Souper Salad,85008,3.5,60.0
Mariscos Acapulco,85008,3.5,32.0
Gypsy's Roadhouse,85008,3.5,29.0
King Wong Chinese Food,85008,3.5,269.0
Castaways,85008,3.5,66.0
Taiwan Express,85008,3.5,8.0
Subway Restaurants,85008,3.5,19.0
Circle K,85008,3.0,8.0
Bill Johnson's Big Apple Restaurants,85008,3.0,96.0
Taco Bell,85008,3.0,29.0
Asian Dining Chinese Restaurant,85008,3.0,95.0
Honey Bear's BBQ,85008,3.0,280.0
Pizza Patron,85008,3.0,10.0
RBG Bar & Grill,85008,3.0,23.0
Sonic Drive-In,85008,3.0,25.0
Filiberto's Mexican Rest,85008,3.0,7.0
7-Eleven,85008,3.0,5.0
Twisted Fork Cafeteria MIHS,85008,3.0,7.0
Beijing Garden Chinese,85008,3.0,83.0
Golden Buddha,85008,3.0,136.0
Rock-n-Taco,85008,3.0,7.0
Donna's Bakery Cafe,85008,3.0,18.0
Food City,85008,3.0,17.0
Applebee's Grill + Bar,85008,2.5,190.0
Subway Restaurants,85008,2.5,18.0
Jack in the Box,85008,2.5,9.0
Al Aruba,85008,2.5,6.0
Canton Wong,85008,2.5,13.0
Sinclair Gas,85008,2.5,11.0
Copper Kettle Curry House,85008,2.5,5.0
Asian Seafood Buffet,85008,2.5,7.0
Jimmy John's,85008,2.5,63.0
Z-Bucks,85008,2.0,5.0
Circle K,85008,2.0,4.0
Burger King,85008,2.0,5.0
Pizza & Krispy Krunchy Chicken,85008,2.0,19.0
Jack in the Box,85008,2.0,13.0
Gateway Cafe,85008,2.0,6.0
Circle K,85008,2.0,6.0
IHOP,85008,2.0,155.0
7-Eleven,85008,2.0,4.0
Taco Bell,85008,2.0,9.0
Burger King,85008,2.0,21.0
Circle K,85008,1.5,9.0
Maizie's Cafe & Bistro,85012,4.0,388.0
Aiello's,85012,4.0,112.0
Lola Coffee,85012,4.0,136.0
The Good Egg - Park Central,85012,3.5,164.0
Poké Catcher,85013,4.5,115.0
Taqueria Los Yaquis,85013,4.5,252.0
Los Compadres Mexican Food,85013,3.5,169.0
America's Taco Shop,85013,3.5,170.0
Little Cleo's Seafood Legend,85014,4.5,368.0
Padre's Modern Mexican Cuisine,85014,4.0,137.0
Pure Sushi Colony,85014,4.0,242.0
Farm & Craft,85014,4.0,131.0
Ticoz Latin Kitchen,85014,4.0,464.0
Pomegranate Cafe,85014,4.0,123.0
Richardson's Cuisine of New Mexico,85014,4.0,105.0
That's a Wrap,85014,4.0,102.0
Joe's Midnight Run,85014,4.0,392.0
Mamma Mia,85014,4.0,111.0
Okra Cookhouse & Cocktails,85014,4.0,227.0
Mary Coyle Ol' Fashion Ice Cream,85014,4.0,132.0
Garage Wine and Tap,85014,3.5,244.0
Casa Anejo,85014,3.5,189.0
The Hatter and Hare,85014,3.5,223.0
Z'Tejas Mexican Restaurant and Grill,85014,3.5,172.0
SOLO Trattoria,85016,4.5,269.0
Mejico Cocina Mejicana,85016,4.5,126.0
Dieci,85016,4.5,142.0
Mexx32,85016,4.5,173.0
The Crepe Club,85016,4.0,164.0
Yogurtology,85016,4.0,108.0
Bink's Midtown,85016,4.0,247.0
Donovan's Steak & Chop House,85016,4.0,343.0
noca,85016,4.0,302.0
Cyprus Grill of Phoenix,85016,4.0,123.0
Revo Burrito,85016,3.5,139.0
Jerry's Restaurant,85016,3.5,226.0
Fuego Tacos,85016,3.5,166.0
Central Bistro,85016,3.5,324.0
Capriotti's Sandwich Shop,85016,3.5,143.0
Stacy's Smokehouse,85016,3.5,122.0
Del Frisco's Grille,85016,3.5,181.0
Sonora Mesquite Grill,85018,4.5,165.0
3on Smith Cafe,85018,4.5,317.0
Two Hippies Gnarly Burger Joint,85018,4.5,131.0
Masterpiece Donuts & Coffee,85018,4.5,127.0
Santa Madre Taco Shop,85018,4.5,127.0
Acacia Cafe,85018,4.0,214.0
Tacos Tequila Whiskey,85018,4.0,269.0
Milagro Grill,85018,4.0,178.0
Gino's East,85018,3.5,379.0
Carmel's Coffee & Bakery,85019,4.0,132.0
Escobar Mexican Kitchen,85020,4.5,129.0
Thirteenorth Grille,85020,4.0,255.0
Corbin Bar & Grill,85020,3.5,149.0
Tacos Atoyac,85021,4.5,318.0
Pieology Pizzeria,85022,4.0,103.0
Noodle & Rice,85022,4.0,190.0
Kneaders Bakery & Cafe,85022,4.0,101.0
J.K. Sushi,85022,4.0,155.0
Sammiches Bistro,85023,4.5,216.0
Rustic Cafe,85024,3.5,345.0
Olive Tree Market & Grill,85027,4.5,180.0
Gyro House,85028,4.5,124.0
Überrito,85028,4.0,126.0
Bombay Spice Grill,85028,3.5,141.0
Yakiramen,85029,3.5,150.0
Zabari Mediterranean Grill,85032,4.5,108.0
Crust Pizzeria & Ristorante,85032,4.0,191.0
McAlister's Deli,85032,4.0,106.0
Lenero Mexican Grill,85032,4.0,110.0
Wagon Yard,85032,3.5,103.0
Madras Ananda Bhavan,85032,3.5,152.0
G's Food,85037,4.0,111.0
Gordas Baja Taco,85041,4.0,108.0
Arroy Thai,85044,4.5,188.0
Angry Crab Shack,85044,4.0,384.0
Sushi Eye,85044,3.5,188.0
Perfect Pear Bistro,85048,4.0,204.0
Capriotti's Sandwich Shop,85048,3.5,159.0
MidiCi The Neapolitan Pizza Company,85050,4.0,249.0
Matador Coffee,85050,4.0,102.0
Wolfley's Neighborhood Grill,85050,3.5,190.0
Tim Finnegan's Irish Restaurant and Pub,85051,4.0,263.0
Mi Comida Restaurante Latino,85053,4.5,187.0
Bourbon Jacks,85054,3.5,168.0
Elephant Bar Restaurant,85054,3.5,104.0
Kona Grill,85054,3.5,384.0
Gordon Biersch Brewery Restaurant,85054,3.5,210.0
Blue 32 Sports Grill,85054,3.5,130.0
Pink Spot,85073,4.0,124.0
